==============================================
HEADER ANALYSIS
==============================================

Total Statements : 6871
Unique Headers   : 1607

==============================================
HEADER FREQUENCY
==============================================

    8    OSTK
    8    PACKSIZE
    8    PUR.VALUE
    8    PURCV
    8    PURTOT
    8    QOHVALUE
    8    QTY. FREE
    8    REPL
    8    REPL.
    8    REPL./
    8    REPLACEMENT VALUE
    8    RETRUN
    8    SALES RETURN
    8    SALETOT
    7    BILL NO
    7    BILLNO
    7    ENTRY NO.
    7    EXP/DMG
    7    EXPIRY DATE
    7    FR1
    7    GST %
    7    HSN
    7    HSN CODE
    7    ITEM_AMOUNT
    7    JUN SA
    7    LEDGER ACCOUNT
    7    LOCATION
    7    MAY SA
    7    MRGIN
    7    NM60D QTY
    7    OP. QTY
    7    P.QTY
    7    PLACE
    7    PURCHASE FREE
    7    PURCHASE QTY
    7    RECIEPT
    7    RP
    7    RP2
    7    SALE APOLLO
    7    SALE TRADE
    7    SALESRETURNQTY
    7    SAMPLE
    7    STATE
    7    STOCKVALUE
    7    TAXRATE
    7    TOTAL PUR.
    7    TRF.IN
    7    TRF.OUT
    7    WSALE
    6    ____________________
    6    ---->
    6    --->
    6    <--
    6    10
    6    10'S
    6    10`S
    6    7012306549
    6    ADJ_VALUE
    6    ALTERCODE
    6    B2B_PURCHASE
    6    B2B_PURCHASE_RETURN
    6    B2B_PURCHASE_RETURN_VALUE
    6    B2B_PURCHASE_VALUE
    6    B2B_SALE
    6    B2B_SALE_RETURN
    6    B2B_SALE_RETURN_VALUE
    6    B2B_SALE_VALUE
    6    B2C_PURCHASE
    6    B2C_PURCHASE_RETURN
    6    B2C_PURCHASE_RETURN_VALUE
    6    B2C_PURCHASE_VALUE
    6    B2C_SALE
    6    B2C_SALE_RETURN
    6    B2C_SALE_RETURN_VALUE
    6    B2C_SALE_VALUE
    6    BATCH_ID
    6    BRANCHTRANSFERRECEIVED
    6    BRANCHTRANSFERRECEIVED_VALUE
    6    BRANCHTRANSFERSENT
    6    BRANCHTRANSFERSENT_VALUE
    6    BRK/EXP
    6    BSC QT
    6    CESS_AMOUNT
    6    CESS_PERCENT
    6    CLOSING AMOUNT
    6    CLOSING QTY
    6    CLOSINGSTOCK
    6    CLOSINGSTOCK_VALUE
    6    CLSSTK
    6    CLVAL
    6    COLUMN1
    6    COLUMN2
    6    COMPNAME
    6    CREATEDBY
    6    CUST_ORDER_DATE
    6    CUST_ORDER_NO
    6    CUSTNAME
    6    CUSTOMER_GROUP
    6    DISAMT
    6    DIVISION_NAME
    6    FEEDDATE
    6    FEEDNO
    6    FREE SAMPLE
    6    FREEVAL
    6    IN STOCK VALUE
    6    INV DATE
    6    KOLLAM
    6    LINEDISCAMT
    6    MRP AMT
    6    NETRATE
    6    NR_EXP_QTY
    6    NR_EXP_VALUE
    6    OP QTY
    6    OPENINGSTOCK_VALUE
    6    OPN
    6    OPNSTK
    6    OPQTY
    6    PENDINGPURCHASE
    6    PENDINGPURCHASE_VALUE
    6    PMSALEQTY
    6    POB SALES
    6    PREVMONTHSALQTYVALUE
    6    PRODNAME
    6    PRODUCT_CATEGORY
    6    PRODUCTREMARK
    6    PU.R
    6    PUR QTY
    6    PURCHASERTNVALUE
    6    RECEVIED QTY
    6    REPCELL
    6    REPCODE
    6    REPLQTY
    6    REPNAME
    6    REPORT_DATE
    6    RIO_INVENTORY
    6    S.VALUE
    6    SALE REPORT PARTY +ITEM WISE FROM 01/11/2022 TO 30/11/2022
    6    SALES AMOUNT
    6    SALESFREE
    6    SALESRETURNVALUE
    6    SCM%
    6    SCMAMT
    6    SHELF ID
    6    SHIPTO_CUST_CODE
    6    SHIPTO_CUST_NAME
    6    SHORTAGE
    6    SHORTAGE QTY.
    6    SNS_MONTH
    6    SOFTWARE : BIOS
    6    SVALUE
    6    SYS_ORDER_DATE
    6    SYS_ORDER_NO
    6    TAX_AMOUNT
    6    TAX_PER
    6    TAXABLE_AMOUNT
    6    TOTAL_AMT
    6    TOTAL_BILLAMOUNT
    6    TOTAL_PURCHASE
    6    TOTAL_PURCHASE_RETURN
    6    TOTAL_PURCHASE_RETURN_VALUE
    6    TOTAL_PURCHASE_VALUE
    6    TOTAL_SALE
    6    TOTAL_SALE_RETURN
    6    TOTAL_SALE_RETURN_VALUE
    6    TOTAL_SALE_VALUE
    6    TRADE DISC.
    6    TRADEMODE_DESC
    6    TYPE
    6    UNIT_NAME
    6    WANTED BOOK QUANTITY
    5    # CITALIN 5MG  TAB 10S
    5    %
    5    ADJ.
    5    ADJUSTMENTQUANTITY
    5    AMT
    5    APRSALESQTY
    5    APRSALESVALUE
    5    B.DIS%
    5    CL.AMOUNT
    5    CL.STOCK AS ON(UNIT1)
    5    CLSTK
    5    COMPANY GROUP
    5    DIVISON
    5    EX.DT.
    5    EXPDT
    5    FREE QTY FREE QTY
    5    FREE QTY QTY
    5    I/FREE
    5    INSTITUTESALES
    5    INV NO.
    5    ISSUE  QTY
    5    JUNSALESQTY
    5    JUNSALESVALUE
    5    LAST MONTH INSTITUTE SALES QTY
    5    MAYSALESQTY
    5    MAYSALESVALUE
    5    NE VALUE
    5    NEAR EXP.
    5    NEAR EXPIRY STOCK
    5    NET SALE VALUE
    5    NET SRN VALUE
    5    NETPURHASEVALUE
    5    NETSTOCKVALUE@COST
    5    OPENING QTY
    5    OPSTOCK(UNIT1)
    5    ORDERQTY
    5    P RETURN QTY
    5    P. RATE
    5    P.DIS%
    5    P.VAL
    5    PREV.SAL
    5    PRODUCT ALIAS
    5    PURCHASE VALUE ON COST
    5    PURCHASEQTY(UNIT1)
    5    PURCHASERETURNQTY(UNIT1)
    5    QOH VALUE
    5    RE-
    5    REC
    5    REORDER - QTY
    5    REPORT FROM:
    5    RPL. QTY
    5    S RETURN QTY
    5    S. QTY
    5    S.QTY
    5    S.VAL
    5    SALE AMO.
    5    SALE RATE
    5    SALERETURNQUANTITY
    5    SALES FREE
    5    SALES VALUE
    5    SALESQTY(UNIT1)
    5    SALESRETURNQTY(UNIT1)
    5    SCHAMT
    5    SL VAL
    5    SM
    5    SRN VALUE
    5    STATUS
    5    STOCKVALUEATCOSTPRICE
    5    SUB-SALE VALUE
    5    TO
    5    TOTAL PURCHASE RETURN VALUE
    5    TOTAL PURCHASE VALUE
    5    TOTAL SALE RETURN VALUE
    5    TOTAL SALE VALUE
    5    TOTAL SALES W/O FREE
    5    TR.RATE
    5    VTYPE
    4    .GABAGESIC NT 400GM TAB
    4    % VALUE
    4    2
    4    BALANCE
    4    BANK ACCT NO.
    4    BFREE
    4    BQTY
    4    C. AMT(PTR)
    4    CD%
    4    COMPUTE_0005
    4    COMPUTE_0006
    4    CUSCODE
    4    CUSTOMER GST NO
    4    D2C PURCHASE
    4    D2C PURCHASE RETURN
    4    D2C PURCHASE RETURN VALUE
    4    D2C PURCHASE VALUE
    4    D2C SALE
    4    D2C SALE RETURN
    4    D2C SALE RETURN VALUE
    4    D2C SALE VALUE
    4    D2R PURCHASE
    4    D2R PURCHASE RETURN
    4    D2R PURCHASE RETURN VALUE
    4    D2R PURCHASE VALUE
